dealer_id  ,dealer_name  ,dealer_location  ,dealer_contact  ,dealer_email  ,dealer_rating  ,manufacturer_id  ,created_at  ,updated_at  ,description  ,showroom_id
D001,BMW City Motors,New York,555-0123,contact@bmwcity.com,4.5,BMW,2023-10-01,2023-10-15,Established in 2005 BMW City Motors provides exceptional service and a wide range of BMW vehicles to choose from,SR001
D002,BMW Elite Cars,Los Angeles,555-0456,info@bmwelite.com,4.7,BMW,2023-10-02,2023-10-16,At BMW Elite Cars we focus on delivering luxury and performance with every BMW we sell ensuring customer satisfaction at all times,SR002
D003,BMW Autohaus,Chicago,555-0789,sales@bmwautohaus.com,4.6,BMW,2023-10-03,2023-10-17,BMW Autohaus has been a trusted dealer since 2010 offering a vast selection of new and used BMW models with outstanding customer support,SR003
D004,BMW Prestige,Miami,555-0101,hello@bmwprestige.com,4.8,BMW,2023-10-04,2023-10-18,With a commitment to excellence BMW Prestige delivers top-notch customer service and an impressive inventory of the latest BMW vehicles,SR004
D005,BMW Luxury Motors,Houston,555-0202,contact@bmwluxurymotors.com,4.9,BMW,2023-10-05,2023-10-19,BMW Luxury Motors is dedicated to providing an unparalleled car buying experience with a focus on luxury performance and quality service,SR005
D006,BMW Performance Center,San Francisco,555-0303,support@bmwperformance.com,4.4,BMW,2023-10-06,2023-10-20,At BMW Performance Center we specialize in high-performance BMW vehicles and ensure that every client leaves satisfied and happy,SR001
D007,BMW North Shore,Seattle,555-0404,info@bmwnorthshore.com,4.6,BMW,2023-10-07,2023-10-21,BMW North Shore offers a unique blend of luxury and performance with an extensive inventory and knowledgeable staff ready to assist you,SR002
D008,BMW South Bay,San Diego,555-0505,contact@bmwsouthbay.com,4.5,BMW,2023-10-08,2023-10-22,BMW South Bay is known for its exceptional customer service and a wide selection of both new and certified pre-owned BMW vehicles,SR003
D009,BMW Gateway,Atlanta,555-0606,sales@bmwgateway.com,4.7,BMW,2023-10-09,2023-10-23,BMW Gateway prides itself on providing a seamless car buying experience along with a variety of financing options for every customer,SR004
D010,BMW Urban Motors,Boston,555-0707,info@bmwurbanmotors.com,4.8,BMW,2023-10-10,2023-10-24,With a focus on urban lifestyles BMW Urban Motors offers a selection of vehicles that cater to city driving while maintaining luxury and style,SR005
D011,BMW Mountain View,Denver,555-0808,contact@bmwmountainview.com,4.6,BMW,2023-10-11,2023-10-25,BMW Mountain View combines stunning scenery with a wide selection of BMW vehicles ensuring you find the perfect car for your needs,SR001
D012,BMW Valley,Portland,555-0909,info@bmwvalley.com,4.4,BMW,2023-10-12,2023-10-26,BMW Valley is dedicated to providing an exceptional experience with a focus on customer service and a diverse lineup of BMW models,SR002
D013,BMW Coastal,Orlando,555-1010,sales@bmwcoastal.com,4.5,BMW,2023-10-13,2023-10-27,At BMW Coastal we offer a unique selection of BMW vehicles along with expert service and support to ensure you drive away happy,SR003
D014,BMW Horizon,Philadelphia,555-1111,contact@bmwhorizon.com,4.8,BMW,2023-10-14,2023-10-28,BMW Horizon is committed to excellence providing a wide range of BMW vehicles with exceptional service and customer care,SR004
D015,BMW Skyline,Las Vegas,555-1212,info@bmwskyline.com,4.9,BMW,2023-10-15,2023-10-29,BMW Skyline offers an impressive inventory of BMW models along with a team of dedicated professionals ready to assist you,SR005
