clothing_id  ,brand  ,category  ,size  ,color  ,material  ,price  ,stock_quantity  ,description  ,supplier_id  ,created_at  ,updated_at  ,season  ,gender  ,discount_percentage  
CLOTH001  ,Global Brand 1  ,T-Shirt  ,M  ,Blue  ,Cotton  ,19.99  ,150  ,Comfortable and stylish blue t-shirt made from 100% cotton perfect for casual wear  ,SUP001  ,2023-01-15  ,2023-01-15  ,Summer  ,Unisex  ,10  
CLOTH002  ,Global Brand 2  ,Jeans  ,L  ,Black  ,Denim  ,49.99  ,80  ,Classic black jeans with a slim fit design made from high-quality denim  ,SUP002  ,2023-01-10  ,2023-01-10  ,All Season  ,Male  ,15  
CLOTH003  ,Global Brand 3  ,Jacket  ,S  ,Red  ,Leather  ,89.99  ,60  ,Stylish red leather jacket that adds a touch of elegance to any outfit  ,SUP003  ,2023-01-12  ,2023-01-12  ,Fall  ,Female  ,20  
CLOTH004  ,Global Brand 4  ,Sweater  ,XL  ,Grey  ,Wool  ,39.99  ,100  ,Warm and cozy grey sweater perfect for chilly evenings and winter outings  ,SUP004  ,2023-01-05  ,2023-01-05  ,Winter  ,Unisex  ,5  
CLOTH005  ,Global Brand 5  ,Shorts  ,M  ,Green  ,Cotton  ,29.99  ,120  ,Lightweight green shorts ideal for summer activities and beach outings  ,SUP005  ,2023-01-08  ,2023-01-08  ,Summer  ,Male  ,10  
CLOTH006  ,Global Brand 1  ,Dress  ,L  ,Yellow  ,Silk  ,79.99  ,70  ,Elegant yellow silk dress perfect for formal occasions and parties  ,SUP001  ,2023-01-20  ,2023-01-20  ,Spring  ,Female  ,15  
CLOTH007  ,Global Brand 2  ,Skirt  ,S  ,Pink  ,Cotton  ,34.99  ,90  ,Trendy pink cotton skirt that pairs well with any top for a chic look  ,SUP002  ,2023-01-18  ,2023-01-18  ,Summer  ,Female  ,5  
CLOTH008  ,Global Brand 3  ,Blazer  ,M  ,Navy  ,Polyester  ,59.99  ,50  ,Tailored navy blazer suitable for both office and casual settings  ,SUP003  ,2023-01-22  ,2023-01-22  ,All Season  ,Male  ,10  
CLOTH009  ,Global Brand 4  ,Tank Top  ,L  ,White  ,Cotton  ,24.99  ,110  ,Soft white tank top that is perfect for layering or wearing alone  ,SUP004  ,2023-01-25  ,2023-01-25  ,Summer  ,Unisex  ,0  
CLOTH010  ,Global Brand 5  ,Pants  ,XL  ,Beige  ,Linen  ,44.99  ,75  ,Breathable beige linen pants ideal for warm weather and casual outings  ,SUP005  ,2023-01-30  ,2023-01-30  ,Summer  ,Male  ,20  
CLOTH011  ,Global Brand 1  ,Coat  ,M  ,Black  ,Wool  ,99.99  ,40  ,Classic black wool coat that provides warmth and style during winter  ,SUP001  ,2023-02-01  ,2023-02-01  ,Winter  ,Female  ,15  
CLOTH012  ,Global Brand 2  ,Hoodie  ,L  ,Grey  ,Cotton  ,39.99  ,130  ,Casual grey hoodie perfect for lounging or outdoor activities  ,SUP002  ,2023-02-05  ,2023-02-05  ,Fall  ,Unisex  ,10  
CLOTH013  ,Global Brand 3  ,Leggings  ,S  ,Black  ,Spandex  ,29.99  ,160  ,Comfortable black leggings suitable for workouts or casual wear  ,SUP003  ,2023-02-10  ,2023-02-10  ,All Season  ,Female  ,5  
CLOTH014  ,Global Brand 4  ,Shirt  ,M  ,White  ,Cotton  ,34.99  ,140  ,Classic white shirt that is versatile for both formal and casual occasions  ,SUP004  ,2023-02-15  ,2023-02-15  ,All Season  ,Male  ,10  
CLOTH015  ,Global Brand 5  ,Belt  ,One Size  ,Brown  ,Leather  ,19.99  ,200  ,Stylish brown leather belt that complements any outfit  ,SUP005  ,2023-02-20  ,2023-02-20  ,All Season  ,Unisex  ,0  
CLOTH016  ,Global Brand 1  ,Scarf  ,One Size  ,Red  ,Wool  ,25.99  ,180  ,Warm red wool scarf perfect for adding style and warmth in winter  ,SUP001  ,2023-02-25  ,2023-02-25  ,Winter  ,Unisex  ,5  
CLOTH017  ,Global Brand 2  ,Boots  ,L  ,Black  ,Leather  ,89.99  ,60  ,Durable black leather boots suitable for various weather conditions  ,SUP002  ,2023-02-28  ,2023-02-28  ,Fall  ,Male  ,15  
CLOTH018  ,Global Brand 3  ,Sandals  ,M  ,Brown  ,Rubber  ,29.99  ,150  ,Comfortable brown sandals ideal for beach and casual outings  ,SUP003  ,2023-03-02  ,2023-03-02  ,Summer  ,Unisex  ,10  
CLOTH019  ,Global Brand 4  ,Cap  ,One Size  ,Blue  ,Cotton  ,19.99  ,200  ,Stylish blue cotton cap perfect for sunny days and outdoor activities  ,SUP004  ,2023-03-05  ,2023-03-05  ,Summer  ,Unisex  ,0  
CLOTH020  ,Global Brand 5  ,Socks  ,M  ,White  ,Cotton  ,9.99  ,300  ,Comfortable white cotton socks ideal for everyday wear  ,SUP005  ,2023-03-10  ,2023-03-10  ,All Season  ,Unisex  ,5  
CLOTH021  ,Global Brand 1  ,Swimwear  ,L  ,Black  ,Nylon  ,39.99  ,120  ,Stylish black swimwear perfect for beach vacations and pool parties  ,SUP001  ,2023-03-15  ,2023-03-15  ,Summer  ,Female  ,10  
CLOTH022  ,Global Brand 2  ,Overalls  ,M  ,Green  ,Denim  ,49.99  ,80  ,Trendy green denim overalls that offer comfort and style for casual outings  ,SUP002  ,2023-03-20  ,2023-03-20  ,All Season  ,Unisex  ,15  
CLOTH023  ,Global Brand 3  ,Tracksuit  ,L  ,Grey  ,Polyester  ,69.99  ,60  ,Comfortable grey tracksuit perfect for workouts and lounging  ,SUP003  ,2023-03-25  ,2023-03-25  ,Fall  ,Male  ,10  
CLOTH024  ,Global Brand 4  ,Pajamas  ,S  ,Pink  ,Cotton  ,29.99  ,140  ,Soft pink pajamas ideal for a cozy night in or lounging around  ,SUP004  ,2023-03-30  ,2023-03-30  ,Winter  ,Female  ,5  
CLOTH025  ,Global Brand 5  ,Bikini  ,M  ,Yellow  ,Nylon  ,39.99  ,100  ,Stylish yellow bikini perfect for summer beach outings and sunbathing  ,SUP005  ,2023-04-02  ,2023-04-02  ,Summer  ,Female  ,15  
CLOTH026  ,Global Brand 1  ,Windbreaker  ,L  ,Red  ,Nylon  ,59.99  ,70  ,Lightweight red windbreaker ideal for windy days and outdoor activities  ,SUP001  ,2023-04-05  ,2023-04-05  ,Fall  ,Unisex  ,10  
CLOTH027  ,Global Brand 2  ,Jumpsuit  ,M  ,Black  ,Cotton  ,69.99  ,50  ,Chic black jumpsuit that is perfect for both casual and formal occasions  ,SUP002  ,2023-04-10  ,2023-04-10  ,All Season  ,Female  ,20  
CLOTH028  ,Global Brand 3  ,Chinos  ,L  ,Beige  ,Cotton  ,44.99  ,90  ,Stylish beige chinos suitable for casual outings and smart-casual events  ,SUP003  ,2023-04-15  ,2023-04-15  ,Spring  ,Male  ,5  
CLOTH029  ,Global Brand 4  ,Cardigan  ,S  ,Blue  ,Wool  ,49.99  ,80  ,Cozy blue cardigan that adds warmth and style to any outfit  ,SUP004  ,2023-04-20  ,2023-04-20  ,Winter  ,Female  ,10  
CLOTH030  ,Global Brand 5  ,Tote Bag  ,One Size  ,Grey  ,Canvas  ,24.99  ,150  ,Versatile grey canvas tote bag perfect for shopping and everyday use  ,SUP005  ,2023-04-25  ,2023-04-25  ,All Season  ,Unisex  ,0  
