product_id  ,category  ,brand  ,size  ,color  ,price  ,stock_quantity  ,description  ,supplier_id  ,discount_percentage  ,rating  ,review_count  ,created_at  ,updated_at  ,image_url  ,is_active  
P001  ,Clothing  ,BrandA  ,M  ,Red  ,29.99  ,50  ,Stylish red t-shirt made of soft cotton perfect for casual outings  ,S001  ,10  ,4.5  ,120  ,2023-01-15  ,2023-01-20  ,http://example.com/image1.jpg  ,true  
P002  ,Electronics  ,BrandB  ,N/A  ,Black  ,199.99  ,30  ,High-performance wireless headphones with noise cancellation features  ,S002  ,15  ,4.8  ,200  ,2023-02-10  ,2023-02-15  ,http://example.com/image2.jpg  ,true  
P003  ,Clothing  ,BrandC  ,L  ,Blue  ,49.99  ,20  ,Comfortable blue jeans with a modern fit and durable fabric  ,S003  ,5  ,4.2  ,95  ,2023-03-05  ,2023-03-10  ,http://example.com/image3.jpg  ,true  
P004  ,Electronics  ,BrandD  ,N/A  ,Silver  ,299.99  ,15  ,Latest model smartphone with advanced camera and long battery life  ,S004  ,20  ,4.6  ,150  ,2023-04-01  ,2023-04-05  ,http://example.com/image4.jpg  ,true  
P005  ,Clothing  ,BrandE  ,S  ,Green  ,39.99  ,40  ,Trendy green summer dress suitable for various occasions  ,S005  ,10  ,4.7  ,180  ,2023-05-12  ,2023-05-15  ,http://example.com/image5.jpg  ,true  
P006  ,Electronics  ,BrandF  ,N/A  ,White  ,99.99  ,25  ,Portable Bluetooth speaker with high-quality sound and battery life  ,S006  ,25  ,4.3  ,60  ,2023-06-20  ,2023-06-25  ,http://example.com/image6.jpg  ,true  
P007  ,Clothing  ,BrandG  ,XL  ,Black  ,59.99  ,10  ,Stylish black jacket perfect for winter and outdoor activities  ,S007  ,15  ,4.4  ,110  ,2023-07-30  ,2023-08-02  ,http://example.com/image7.jpg  ,true  
P008  ,Electronics  ,BrandH  ,N/A  ,Grey  ,499.99  ,5  ,Premium laptop with high-speed performance and sleek design  ,S008  ,5  ,4.9  ,90  ,2023-08-15  ,2023-08-20  ,http://example.com/image8.jpg  ,true  
P009  ,Clothing  ,BrandI  ,M  ,Yellow  ,24.99  ,60  ,Casual yellow hoodie made from breathable fabric for comfort  ,S009  ,0  ,4.1  ,75  ,2023-09-01  ,2023-09-05  ,http://example.com/image9.jpg  ,true  
P010  ,Electronics  ,BrandJ  ,N/A  ,Black  ,149.99  ,20  ,Smartwatch with fitness tracking and notification features  ,S010  ,10  ,4.5  ,130  ,2023-09-20  ,2023-09-25  ,http://example.com/image10.jpg  ,true  
P011  ,Clothing  ,BrandK  ,L  ,Pink  ,34.99  ,35  ,Elegant pink blouse perfect for office wear and formal events  ,S011  ,20  ,4.6  ,140  ,2023-10-01  ,2023-10-05  ,http://example.com/image11.jpg  ,true  
P012  ,Electronics  ,BrandL  ,N/A  ,Blue  ,249.99  ,12  ,High-definition television with smart features and streaming capabilities  ,S012  ,15  ,4.7  ,160  ,2023-10-10  ,2023-10-15  ,http://example.com/image12.jpg  ,true  
P013  ,Clothing  ,BrandM  ,S  ,Orange  ,19.99  ,80  ,Lightweight orange tank top ideal for summer activities  ,S013  ,5  ,4.0  ,50  ,2023-10-20  ,2023-10-25  ,http://example.com/image13.jpg  ,true  
P014  ,Electronics  ,BrandN  ,N/A  ,Black  ,129.99  ,15  ,Wireless earbuds with excellent sound quality and battery life  ,S014  ,10  ,4.4  ,110  ,2023-10-30  ,2023-11-02  ,http://example.com/image14.jpg  ,true  
P015  ,Clothing  ,BrandO  ,XL  ,Purple  ,44.99  ,25  ,Trendy purple long-sleeve shirt that pairs well with jeans  ,S015  ,15  ,4.8  ,130  ,2023-11-05  ,2023-11-10  ,http://example.com/image15.jpg  ,true  
P016  ,Electronics  ,BrandP  ,N/A  ,Silver  ,349.99  ,8  ,Latest gaming console with immersive gaming experience and features  ,S016  ,0  ,4.9  ,200  ,2023-11-15  ,2023-11-20  ,http://example.com/image16.jpg  ,true  
P017  ,Clothing  ,BrandQ  ,M  ,Brown  ,39.99  ,50  ,Stylish brown leather belt that complements any outfit  ,S017  ,10  ,4.3  ,90  ,2023-11-25  ,2023-11-30  ,http://example.com/image17.jpg  ,true  
P018  ,Electronics  ,BrandR  ,N/A  ,Black  ,199.99  ,20  ,High-quality camera with advanced features for photography enthusiasts  ,S018  ,20  ,4.6  ,150  ,2023-12-01  ,2023-12-05  ,http://example.com/image18.jpg  ,true  
P019  ,Clothing  ,BrandS  ,L  ,Beige  ,54.99  ,30  ,Comfortable beige cardigan suitable for chilly evenings  ,S019  ,5  ,4.5  ,120  ,2023-12-10  ,2023-12-15  ,http://example.com/image19.jpg  ,true  
P020  ,Electronics  ,BrandT  ,N/A  ,Black  ,89.99  ,25  ,Compact portable charger with fast charging technology  ,S020  ,15  ,4.4  ,110  ,2023-12-20  ,2023-12-25  ,http://example.com/image20.jpg  ,true  
P021  ,Clothing  ,BrandU  ,S  ,Red  ,29.99  ,100  ,Casual red polo shirt perfect for everyday wear  ,S021  ,10  ,4.2  ,95  ,2023-12-30  ,2024-01-05  ,http://example.com/image21.jpg  ,true  
